 ,Volume (µm^3),Surface (µm^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (µm),SD dist. to surf. (µm),Median dist. to surf. (µm),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,772.282,818.927,0,1491,19840,4,0,0,4,0,316.216,178.853,13.792,6.641,0,0,316.216,178.853,13.792,0,0,0,0,0,0
2,886.567,722.010,0,1424,17082,3,0,0,3,0,272.088,198.250,12.194,5.878,0,0,272.088,198.250,12.194,0,0,0,0,0,0
3,718.097,640.721,0,1216,23060,5,0,0,5,0,260.288,217.982,12.155,5.685,0,0,260.288,217.982,12.155,0,0,0,0,0,0
4,449.511,506.262,0,953,17322,6,0,0,6,0,285.179,248.350,14.129,4.841,0,0,285.179,248.350,14.129,0,0,0,0,0,0
5,885.788,890.592,0,1714,45512,8,0,0,8,0,284.549,175.691,15.217,5.746,0,0,284.549,175.691,15.217,0,0,0,0,0,0
6,812.608,687.871,0,1356,46971,9,0,0,9,0,305.159,218.089,14.981,5.655,0,0,305.159,218.089,14.981,0,0,0,0,0,0
7,119.890,208.417,0,347,7700,10,0,0,10,0,275.595,251.555,14.039,3.471,0,0,275.595,251.555,14.039,0,0,0,0,0,0
8,436.900,485.534,0,916,47702,17,0,0,17,0,242.607,224.964,16.968,4.770,0,0,242.607,224.964,16.968,0,0,0,0,0,0
9,252.860,359.069,0,636,22736,14,0,0,14,0,237.666,191.039,16.365,3.813,0,0,237.666,191.039,16.365,0,0,0,0,0,0
10,535.615,538.464,0,1015,65360,19,0,0,19,0,257.624,245.111,18.731,5.190,0,0,257.624,245.111,18.731,0,0,0,0,0,0
11,221.097,305.511,0,574,28400,20,0,0,20,0,248.087,198.931,18.365,3.700,0,0,248.087,198.931,18.365,0,0,0,0,0,0
12,548.071,510.822,0,988,70400,20,0,0,20,0,191.403,265.701,18.190,5.039,0,0,191.403,265.701,18.190,0,0,0,0,0,0
13,1125.258,1061.679,0,1875,173448,24,0,0,24,0,346.243,198.063,23.702,7.286,0,0,346.243,198.063,23.702,0,0,0,0,0,0
